No.,勘定科目名,決算書名,大分類,中分類,小分類,内訳書
1,現金,現金及び預金,資産,流動資産,現金及び預金,預貯金
2,当座預金,現金及び預金,資産,流動資産,現金及び預金,預貯金
3,普通預金,現金及び預金,資産,流動資産,現金及び預金,預貯金
4,定期預金,現金及び預金,資産,流動資産,現金及び預金,預貯金
5,その他の預金,現金及び預金,資産,流動資産,現金及び預金,預貯金
6,小口現金,現金及び預金,資産,流動資産,現金及び預金,預貯金
7,外貨普通預金,現金及び預金,資産,流動資産,現金及び預金,預貯金
8,外貨定期預金,現金及び預金,資産,流動資産,現金及び預金,預貯金
9,受取手形,受取手形,資産,流動資産,売上債権,受取手形
10,売掛金,売掛金,資産,流動資産,売上債権,売掛金
11,不渡手形,不渡手形,資産,流動資産,売上債権,受取手形
12,完成工事未収入金,完成工事未収入金,資産,流動資産,売上債権,売掛金
13,貸倒引当金（売）,貸倒引当金,資産,流動資産,売上債権,
14,有価証券,有価証券,資産,流動資産,有価証券,有価証券
15,商品,商品,資産,流動資産,棚卸資産,
16,貯蔵品,貯蔵品,資産,流動資産,棚卸資産,
17,材料,材料,資産,流動資産,棚卸資産,
18,仕掛品,仕掛品,資産,流動資産,棚卸資産,
19,製品,製品,資産,流動資産,棚卸資産,
20,半製品,半製品,資産,流動資産,棚卸資産,
21,原材料,原材料,資産,流動資産,棚卸資産,
22,未成工事支出金,未成工事支出金,資産,流動資産,棚卸資産,
23,貸倒引当金,貸倒引当金,資産,流動資産,その他流動資産,
24,前払金,前払金,資産,流動資産,その他流動資産,仮払金
25,立替金,立替金,資産,流動資産,その他流動資産,
26,短期貸付金,短期貸付金,資産,流動資産,その他流動資産,貸付金
27,未収入金,未収入金,資産,流動資産,その他流動資産,売掛金
28,未収賃貸料,未収賃貸料,資産,流動資産,その他流動資産,
29,繰延税金資産(流),繰延税金資産,資産,流動資産,その他流動資産,
30,仮払金,仮払金,資産,流動資産,その他流動資産,仮払金
31,仮払消費税,仮払消費税等,資産,流動資産,その他流動資産,仮払金
32,前払費用,前払費用,資産,流動資産,その他流動資産,
33,前渡金,前渡金,資産,流動資産,その他流動資産,仮払金
34,預け金,預け金,資産,流動資産,その他流動資産,
35,未収収益,未収収益,資産,流動資産,その他流動資産,
36,仮払法人税等,仮払金,資産,流動資産,その他流動資産,仮払金
37,未収還付法人税等,未収還付法人税等,資産,流動資産,その他流動資産,
38,未収還付消費税等,未収還付消費税等,資産,流動資産,その他流動資産,
39,繰延消費税額等（流）,繰延消費税額等,資産,流動資産,その他流動資産,
40,建物,建物,資産,固定資産,有形固定資産,
41,附属設備,建物附属設備,資産,固定資産,有形固定資産,
42,構築物,構築物,資産,固定資産,有形固定資産,
43,機械装置,機械装置,資産,固定資産,有形固定資産,
44,工具器具備品,工具器具備品,資産,固定資産,有形固定資産,
