No.,勘定科目名,決算書名,大分類,中分類,小分類
1,売上高,売上高,損益,売上高,売上高
2,売上値引・返品,売上値引・返品,損益,売上高,売上高
3,完成工事高,完成工事高,損益,売上高,売上高
4,兼業事業売上高,兼業事業売上高,損益,売上高,売上高
5,売上戻り高,売上戻り高,損益,売上高,売上高
6,売上割戻し高,売上割戻し高,損益,売上高,売上高
7,期首商品棚卸高,期首商品棚卸高,損益,売上原価,期首棚卸高
8,仕入高,仕入高,損益,売上原価,仕入
9,仕入値引・返品,仕入値引・返品,損益,売上原価,仕入
10,他勘定振替高,他勘定振替高,損益,売上原価,期末棚卸高
11,期末商品棚卸高,期末商品棚卸高,損益,売上原価,期末棚卸高
12,仕入戻し高,仕入戻し高,損益,売上原価,仕入
13,仕入割戻し高,仕入割戻し高,損益,売上原価,仕入
14,棚卸減耗損（原）,棚卸減耗損,損益,売上原価,期末棚卸高
15,棚卸資産評価損（原）,棚卸資産評価損,損益,売上原価,期末棚卸高
16,期首製品棚卸高,期首製品棚卸高,損益,売上原価,期首棚卸高
17,当期製品製造原価,当期製品製造原価,損益,売上原価,仕入
18,期末製品棚卸高,期末製品棚卸高,損益,売上原価,期末棚卸高
19,完成工事原価,完成工事原価,損益,売上原価,仕入
20,兼業事業売上原価,兼業事業売上原価,損益,売上原価,仕入
21,役員報酬,役員報酬,損益,販売費及び一般管理費,販売費及び一般管理費
22,給料賃金,給料賃金,損益,販売費及び一般管理費,販売費及び一般管理費
23,賞与,賞与,損益,販売費及び一般管理費,販売費及び一般管理費
24,雑給,雑給,損益,販売費及び一般管理費,販売費及び一般管理費
25,退職給与,退職給与,損益,販売費及び一般管理費,販売費及び一般管理費
26,法定福利費,法定福利費,損益,販売費及び一般管理費,販売費及び一般管理費
27,福利厚生費,福利厚生費,損益,販売費及び一般管理費,販売費及び一般管理費
28,教育研修費,教育研修費,損益,販売費及び一般管理費,販売費及び一般管理費
29,業務委託料,業務委託料,損益,販売費及び一般管理費,販売費及び一般管理費
30,荷造運賃,荷造運賃,損益,販売費及び一般管理費,販売費及び一般管理費
31,広告宣伝費,広告宣伝費,損益,販売費及び一般管理費,販売費及び一般管理費
32,交際費,接待交際費,損益,販売費及び一般管理費,販売費及び一般管理費
33,旅費交通費,旅費交通費,損益,販売費及び一般管理費,販売費及び一般管理費
34,通信費,通信費,損益,販売費及び一般管理費,販売費及び一般管理費
35,水道光熱費,水道光熱費,損益,販売費及び一般管理費,販売費及び一般管理費
36,修繕費,修繕費,損益,販売費及び一般管理費,販売費及び一般管理費
37,備品・消耗品費,備品・消耗品費,損益,販売費及び一般管理費,販売費及び一般管理費
38,車両費,車両費,損益,販売費及び一般管理費,販売費及び一般管理費
39,リース料,リース料,損益,販売費及び一般管理費,販売費及び一般管理費
40,地代家賃,地代家賃,損益,販売費及び一般管理費,販売費及び一般管理費
41,保険料,保険料,損益,販売費及び一般管理費,販売費及び一般管理費
42,租税公課,租税公課,損益,販売費及び一般管理費,販売費及び一般管理費
43,支払手数料,支払手数料,損益,販売費及び一般管理費,販売費及び一般管理費
44,支払報酬,支払報酬,損益,販売費及び一般管理費,販売費及び一般管理費
45,会議費,会議費,損益,販売費及び一般管理費,販売費及び一般管理費
46,寄付金,寄付金,損益,販売費及び一般管理費,販売費及び一般管理費
47,新聞図書費,新聞図書費,損益,販売費及び一般管理費,販売費及び一般管理費
48,減価償却費,減価償却費,損益,販売費及び一般管理費,販売費及び一般管理費
49,繰延資産償却,繰延資産償却,損益,販売費及び一般管理費,販売費及び一般管理費
50,貸倒引当金繰入額,貸倒引当金繰入額,損益,販売費及び一般管理費,販売費及び一般管理費
51,貸倒損失,貸倒損失,損益,販売費及び一般管理費,販売費及び一般管理費
52,雑費,雑費,損益,販売費及び一般管理費,販売費及び一般管理費
